,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
MCAS,1.0,0.0,1.0,0.0,,1.0,,1.0,1.0,0.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,0.0,0.0,0.0
MCF7,,1.0,,,,1.0,,,0.0,,,,,,,,1.0,,,,1.0,1.0,1.0,
MDA-MB-157,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
MDA-MB-175-VII,1.0,,1.0,0.0,1.0,,,,1.0,,,1.0,,,,,,0.0,,,,1.0,0.0,1.0
MDA-MB-415,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,0.0,,
MDA-MB-435S,1.0,0.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,
MDA-MB-436,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,0.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,
MDA-MB-453,1.0,0.0,1.0,0.0,,1.0,,1.0,1.0,0.0,,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,1.0,1.0,0.0
MDA-MB-468,0.0,0.0,0.0,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,0.0,1.0,,1.0,,1.0,1.0
MEC-1,0.0,,1.0,,,1.0,1.0,,,0.0,,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,1.0,0.0
MEG-01,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,1.0,,1.0,,1.0,1.0,,0.0,1.0,1.0,,,1.0,1.0,1.0
